scan_id,region,gics_sector,signal_name,raw_value,z_value
110,EU,Technology,above_200dma,0.163677,1.45637
110,EU,Technology,above_50dma,0.0521376,0.98168
110,EU,Technology,acceleration,-0.236844,-1.87965
110,EU,Technology,breadth_above_50dma,,-0.879533
110,EU,Technology,ma50_slope,0.00462727,2.18201
110,EU,Technology,obv_slope,0.00593183,0.419773
110,EU,Technology,return_1m,0.0222198,0.542465
110,EU,Technology,return_3m,0.259063,1.74196
110,EU,Technology,return_6m,0.235688,1.15193
110,EU,Technology,rs_momentum,99.4313,-1.67648
110,EU,Technology,rs_ratio,99.6853,0.235795
110,EU,Utilities,above_200dma,0.084848,0.279952
110,EU,Utilities,above_50dma,0.00114598,-0.149156
110,EU,Utilities,acceleration,-0.0521417,0.404142
110,EU,Utilities,breadth_above_50dma,,-0.879533
110,EU,Utilities,ma50_slope,-0.000495177,-0.803026
110,EU,Utilities,obv_slope,0.00920614,0.640916
110,EU,Utilities,return_1m,-0.011044,-0.114615
110,EU,Utilities,return_3m,0.0410977,-0.373544
110,EU,Utilities,return_6m,0.163162,0.486841
110,EU,Utilities,rs_momentum,99.8123,-0.403037
110,EU,Utilities,rs_ratio,99.1496,0.0378417
110,US,Communication Services,above_200dma,-0.0705756,-2.03954
110,US,Communication Services,above_50dma,-0.0689131,-1.70285
110,US,Communication Services,acceleration,-0.0360467,0.603152
110,US,Communication Services,breadth_above_50dma,0.217391,-0.245529
110,US,Communication Services,ma50_slope,-0.000478329,-0.793209
110,US,Communication Services,obv_slope,-0.0340473,-2.28036
110,US,Communication Services,return_1m,-0.0748556,-1.37512
110,US,Communication Services,return_3m,-0.0388089,-1.14909
110,US,Communication Services,return_6m,-0.0773691,-1.71888
110,US,Communication Services,rs_momentum,99.7828,-0.501678
110,US,Communication Services,rs_ratio,95.8695,-1.17441
110,US,Consumer Discretionary,above_200dma,-0.0175605,-1.24836
110,US,Consumer Discretionary,above_50dma,-0.021289,-0.646696
110,US,Consumer Discretionary,acceleration,-0.0837953,0.0127524
110,US,Consumer Discretionary,breadth_above_50dma,0.574468,0.795855
110,US,Consumer Discretionary,ma50_slope,0.00107593,0.112517
110,US,Consumer Discretionary,obv_slope,-0.0033666,-0.208229
110,US,Consumer Discretionary,return_1m,-0.0325617,-0.539666
110,US,Consumer Discretionary,return_3m,0.0512336,-0.275169
110,US,Consumer Discretionary,return_6m,-0.0499805,-1.46772
110,US,Consumer Discretionary,rs_momentum,100.09,0.525373
110,US,Consumer Discretionary,rs_ratio,98.1582,-0.328543
110,US,Consumer Staples,above_200dma,0.0489595,-0.255636
110,US,Consumer Staples,above_50dma,0.0155166,0.16954
110,US,Consumer Staples,acceleration,-0.0456151,0.484842
110,US,Consumer Staples,breadth_above_50dma,0.628571,0.953642
110,US,Consumer Staples,ma50_slope,0.000529199,-0.206085
110,US,Consumer Staples,obv_slope,-0.0152591,-1.01143
110,US,Consumer Staples,return_1m,0.00266381,0.156163
110,US,Consumer Staples,return_3m,0.0482789,-0.303846
110,US,Consumer Staples,return_6m,0.0940653,-0.146787
110,US,Consumer Staples,rs_momentum,99.9796,0.156172
110,US,Consumer Staples,rs_ratio,100.233,0.438119
110,US,Energy,above_200dma,0.0643048,-0.0266282
110,US,Energy,above_50dma,-0.0580344,-1.46159
110,US,Energy,acceleration,0.0201253,1.29771
110,US,Energy,breadth_above_50dma,0.190476,-0.324025
110,US,Energy,ma50_slope,-0.00127727,-1.25878
110,US,Energy,obv_slope,-0.00414801,-0.261004
110,US,Energy,return_1m,-0.0930184,-1.7339
110,US,Energy,return_3m,-0.113144,-1.87056
110,US,Energy,return_6m,0.241147,1.20198
