date,strategy,benchmark
2015-01-30,1.0,1.0
2015-02-27,1.06148746748,1.0572647927
2015-03-31,1.0449992252715012,1.047159637449465
2015-04-30,1.0605129917134986,1.051423027489982
2015-05-29,1.0611617012110826,1.0590461750066842
2015-06-30,1.0390991072547742,1.034998885104069
2015-07-31,1.0749298423038147,1.044986076727413
2015-08-31,1.0082878675670894,0.9879185660317685
2015-09-30,1.0065624893609286,0.9580712574410069
2015-10-30,1.0686566269100368,1.0250167031746085
2015-11-30,1.0716771212595557,1.0281420839617967
2015-12-31,1.0567947908667432,1.0026141056301459
2016-01-29,1.0198315473852124,0.9468840928307061
2016-02-29,1.024977492423557,0.9563032339908137
2016-03-31,1.1027908923508438,1.032637107397836
2016-04-29,1.1006631718378592,1.0455235330118413
2016-05-31,1.1043940434535184,1.0597250923429895
2016-06-30,1.1153357641572557,1.0590529738900096
2016-07-29,1.1245265844609666,1.102943920855374
2016-08-31,1.1129565438236124,1.1046575545678285
2016-09-30,1.117437478598241,1.105772305157541
2016-10-31,1.0878836025670977,1.078786300935812
2016-11-30,1.1176135462714474,1.135271925236507
2016-12-30,1.1310448842912537,1.1480413414692539
2017-01-31,1.131124613929858,1.171097211886
2017-02-28,1.1675374794275297,1.2078020374569645
2017-03-31,1.1634073377305656,1.2080532320181878
2017-04-28,1.1787267086330924,1.216034325816287
2017-05-31,1.1966874446175317,1.222818249585852
2017-06-30,1.1783008965280777,1.2370558301268517
2017-07-31,1.1914272267705968,1.2568103881620558
2017-08-31,1.2022623257734697,1.244263540337487
2017-09-29,1.205402060743858,1.2807783597671554
2017-10-31,1.23713623171247,1.2947204944332127
2017-11-30,1.2707181816480533,1.3439192092890053
2017-12-29,1.2939156688937967,1.3606133918497025
2018-01-31,1.3683043394590262,1.4202735384662792
2018-02-28,1.3268133660160877,1.357919669824132
2018-03-29,1.2846771647933077,1.3453721064257709
2018-04-30,1.2874551153658347,1.3503760792677573
2018-05-31,1.3153678088339773,1.3699855980469076
2018-06-29,1.3285154860565291,1.3832968836422168
2018-07-31,1.349984964448211,1.4261984388052087
2018-08-31,1.3574590574389784,1.4541658433387186
2018-09-28,1.3663241255773515,1.4566129032953115
2018-10-31,1.237671650757352,1.3510594094924844
2018-11-30,1.292140983252406,1.3863799214962507
2018-12-31,1.186867927409897,1.2539546895658162
2019-01-31,1.2676582642224763,1.3770178537103657
2019-02-28,1.299204145437585,1.42750581948955
2019-03-29,1.3319745568894246,1.4394598671369199
2019-04-30,1.3721563358825093,1.4911447643452123
2019-05-31,1.281504465769692,1.3877747312606137
2019-06-28,1.3441394425325648,1.4925455380200352
2019-07-31,1.3661457506922827,1.505144986403802
2019-08-30,1.341059814753451,1.4559931467761615
2019-09-30,1.3638326086562307,1.5036033480873878
2019-10-31,1.36731629265883,1.5221058693200817
2019-11-29,1.4166758108454245,1.5738586345056393
2019-12-31,1.4593908076634172,1.6164301539028738
2020-01-31,1.4053784867740884,1.5859785946179297
2020-02-28,1.295292780805272,1.4453163033344307
2020-03-31,1.1901354293929476,1.1851608883397946
2020-04-30,1.3467981871804184,1.3561217082326706
2020-05-29,1.43109263276369,1.4205846095854333
2020-06-30,1.4723548689234978,1.4413400098827354
2020-07-31,1.5698245460762927,1.513293662677825
2020-08-31,1.6651397141207565,1.5778822805822934
2020-09-30,1.613658197505488,1.5382444659627899
2020-10-30,1.5980214937923005,1.5297073088549378
2020-11-30,1.778430457960349,1.7483996334717862
2020-12-31,1.848913985388935,1.821040552847365
2021-01-29,1.8111533268196465,1.806191087989355
2021-02-26,1.8376715107823087,1.9161329726611778
2021-03-31,1.9406796929741625,2.031987233800851
2021-04-30,2.0056612933934344,2.1269447528142527
2021-05-28,2.0661375227104943,2.167681931474848
2021-06-30,2.074482300466793,2.168297871142326
2021-07-30,2.1419168912741315,2.1963491266073585
2021-08-31,2.203938175990264,2.2484246518139144
2021-09-30,2.1054192201429127,2.163080275675749
2021-10-29,2.286459007549348,2.277717089931351
2021-11-30,2.273288851662069,2.2175105414450518
2021-12-31,2.3899698430252596,2.356578355523308
2022-01-31,2.2606161327949206,2.253626979973208
2022-02-28,2.24928875656597,2.233500401047175
2022-03-31,2.3871237682820627,2.29314229841807
2022-04-29,2.335665618804618,2.1439589522182354
2022-05-31,2.393256572780316,2.1654786711342773
2022-06-30,2.157309755529907,1.9622558063388404
2022-07-29,2.2863652525261204,2.131978186773432
2022-08-31,2.2389828853028666,2.0577157146133453
2022-09-30,2.028252247718354,1.8691439591494552
2022-10-31,2.309776200371557,2.0494790130007354
2022-11-30,2.433519981131276,2.1854649818164917
2022-12-30,2.344286211713937,2.0828137040777213
2023-01-31,2.3892325755744794,2.2373468032086934
2023-02-28,2.3104540906373945,2.16170264139942
2023-03-31,2.328892726252479,2.1432359029392143
2023-04-28,2.350199999113436,2.150941350601221
2023-05-31,2.332635380309098,2.0689882208473547
2023-06-30,2.5185619773048327,2.227238666133868
2023-07-31,2.6038166766810935,2.3052304119205083
2023-08-31,2.565313773685404,2.2314059199704284
2023-09-29,2.470385855488948,2.1180675409292227
2023-10-31,2.407614963420637,2.0304686158290517
2023-11-30,2.5484687341699486,2.216877425896458
2023-12-29,2.700211931601711,2.3681099283794054
2024-01-31,2.7083534988831066,2.3480005252116256
2024-02-29,2.8368052764405443,2.4429947811143804
2024-03-28,2.9299629889738665,2.5522966325218994
2024-04-30,2.825154154742333,2.4291797944143307
2024-05-31,2.9147912403459415,2.498197953409033
2024-06-28,2.9235767774484254,2.4855454274143023
2024-07-31,2.9794631544405186,2.5962969553600495
2024-08-30,3.100122492695693,2.660901436824557
2024-09-30,3.1816368880777257,2.7213379488674403
2024-10-31,3.147971143504014,2.6777441175591803
2024-11-29,3.388587883280834,2.849840561147553
2024-12-31,3.237236917224181,2.671017684387157
2025-01-31,3.353091880914064,2.7626280891994104
2025-02-28,3.322210927316807,2.7464700507510114
2025-03-31,3.259542032524621,2.6532148342937076
2025-04-30,3.150324413764633,2.590571722055744
2025-05-30,3.256474722348558,2.70222640546335
2025-06-30,3.393485349277461,2.79491434683896
2025-07-31,3.465955011441265,2.8239801611622686
2025-08-29,3.5122277843718552,2.900719035055832
2025-09-30,3.5655757890232205,2.9300260248711796
2025-10-31,3.611899040695121,2.9026873224062784
2025-11-28,3.646450695768334,2.9582914994408185
2025-12-31,3.6362715191117174,2.9705213125711687
2026-01-30,3.6953175682503394,3.0716267774124915
2026-02-27,3.925220625387022,3.1784703568881985
2026-03-31,3.8012329247211794,2.988844920179319
2026-04-30,3.8840862007564003,3.1682505777128673
2026-05-29,3.9399248757890173,3.252191078837226
2026-06-25,3.8535228350592052,3.310436496441774
