date,strategy,benchmark
2008-03-31,1.0,1.0
2008-05-30,1.0646432461,1.0890106135
2008-07-31,1.0080121202268857,0.9703974067976084
2008-09-30,0.8839481876897238,0.8371857373278033
2008-11-28,0.6805248993946751,0.6232765817922825
2009-01-30,0.737731814306951,0.5825222803208246
2009-03-31,0.7249347156462224,0.5744119868249487
2009-05-29,0.8295975761396399,0.7157340045027729
2009-07-31,0.8784648477439646,0.7712911334011114
2009-09-30,0.9374307267079326,0.832806548505438
2009-11-30,0.944883475778594,0.8540606960385655
2010-01-29,0.9379446774103561,0.8239803224369951
2010-03-31,1.046512110392673,0.8951662117710895
2010-05-28,1.0265514464597425,0.8093732215415806
2010-07-30,1.0209093593010707,0.8534420254557775
2010-09-30,1.0882111268648245,0.8970374227277732
2010-11-30,1.1574865600135638,0.9103240259039704
2011-01-31,1.1983958757632083,0.9917391393638529
2011-03-31,1.2654823820719263,1.0137501689316801
2011-05-31,1.3333553587341251,1.041839872900808
2011-07-29,1.251950824030711,1.0001592055589825
2011-09-30,1.0874848845035139,0.8298244531361961
2011-11-30,1.1992109941101692,0.9131891774148521
2012-01-31,1.2960304895248884,0.954058290504257
2012-03-30,1.3706516270858191,1.0123998747761902
2012-05-31,1.2798368067871426,0.9079425592612427
2012-07-31,1.3355594571100118,0.961824367767301
2012-09-28,1.3881925959355719,1.015319479792853
2012-11-30,1.344932952238616,1.026192578542309
2013-01-31,1.3808194197121677,1.0957479787315205
2013-03-28,1.480976186267731,1.1146364600356355
2013-05-31,1.5923368897342707,1.141870653329147
2013-07-31,1.718055522452064,1.1630997609923168
2013-09-30,1.7448858230900977,1.199356398849478
2013-11-29,1.8605639877908995,1.2660861208458654
2014-01-31,1.8842148184152008,1.232402247521227
2014-03-31,1.9706027878737504,1.3039468412173585
2014-05-30,1.939034128485535,1.3458863267084091
2014-07-31,1.9174530970402752,1.3505733747644622
2014-09-30,1.8557442691683539,1.3394300859783015
2014-11-28,1.958522005418178,1.3742234769745896
2015-01-30,1.8465871654880877,1.3241622167222251
2015-03-31,2.018768126639981,1.3766883185666496
2015-05-29,2.0895344688013324,1.416140328058783
2015-07-31,2.1179047002968687,1.3909981119220072
2015-09-30,1.868183116762361,1.2517592693557213
2015-11-30,1.99510130699427,1.34040817159284
2016-01-29,1.8506895971269786,1.242600581705029
2016-03-31,1.965953255533948,1.3178238492559058
2016-05-31,1.9978212494821288,1.3399212609627278
2016-07-29,2.0784768941168292,1.389748414845416
2016-09-30,2.1386039687435607,1.40761146423945
2016-11-30,2.22452732601487,1.3949881988785326
2017-01-31,2.3059093402796504,1.4637080984642636
2017-03-31,2.4248465177856535,1.5206794879934467
2017-05-31,2.487977094497842,1.5793334693230674
2017-07-31,2.542783529919373,1.6352716635250024
2017-09-29,2.771765547662366,1.672702332333872
2017-11-30,2.968429971435478,1.7431881440571315
2018-01-31,3.1223370531963432,1.8692945045338942
2018-03-29,2.9689802630002586,1.7589030132474999
2018-05-31,3.00932108441155,1.7743581893829037
2018-07-31,3.091013576256423,1.8180420462499856
2018-09-28,3.199019623774761,1.8418536501480773
2018-11-30,2.938282374045052,1.7319771711124774
2019-01-31,2.9409292048995392,1.7363477765342934
2019-03-29,3.0414651962121715,1.8072353196326647
2019-05-31,2.858836325180092,1.7556352555218733
2019-07-31,3.1440175898129845,1.8708517875935864
2019-09-30,3.1318103698752577,1.870598327212596
2019-11-29,3.198700046403516,1.9667282458026472
2020-01-31,3.3156645616831173,2.0051571197744473
2020-03-31,2.4977396917239374,1.606230663244252
2020-05-29,3.29810946475968,1.8539550148187092
2020-07-31,3.7656168867270177,2.010729967106195
2020-09-30,4.011531319624204,2.068978608683561
2020-11-30,4.851230036807075,2.2608089412467596
2021-01-29,5.848227166824617,2.3594749941434947
2021-03-31,5.955676907964837,2.4823531794826184
2021-05-28,6.086589621192096,2.62584234867171
2021-07-30,6.33065750761239,2.6831256976748703
2021-09-30,6.22634704076709,2.62557904722647
2021-11-30,6.870179950288399,2.7033585684195143
2022-01-31,6.209930634084058,2.680755985585142
2022-03-31,6.3266694307246745,2.649161355801433
2022-05-31,5.512779495278244,2.4463191666560897
2022-07-29,5.657154752747727,2.406903787491376
2022-09-30,4.887166417251663,2.085608799873862
2022-11-30,5.350391974376568,2.4028845058298836
2023-01-31,5.371614062412223,2.464126778536318
2023-03-31,5.293564235488462,2.461696708453988
2023-05-31,5.355524474150391,2.4741188893974524
2023-07-31,5.876700492863361,2.711344428082993
2023-09-29,5.642890796489583,2.5198399418601025
2023-11-30,6.060147502467986,2.6739709462267407
2024-01-31,6.723910331892127,2.810375691182148
2024-03-28,7.203150444776182,3.0328922199143578
2024-05-31,7.242366121672391,3.059054619382387
2024-07-31,7.247022858798554,3.1694351761126622
2024-09-30,7.422850697594484,3.31995081716314
2024-11-29,8.382700400017493,3.381601163434754
2025-01-31,8.20035378188033,3.395084422577409
2025-03-31,7.353936847420062,3.260614417550098
2025-05-30,8.510833209461929,3.4640002671037253
2025-07-31,9.623609785045842,3.6688906959089107
2025-09-30,10.631912933550476,3.9026428001691977
2025-11-28,10.607965807422953,3.9938290392956293
2026-01-30,12.056445379451956,4.143688613685475
2026-03-31,11.91813004654794,3.940633421329584
2026-05-29,15.447714432962952,4.515053718290574
2026-07-31,13.327833327823358,4.483906307321724
2026-09-01,13.793688236846544,4.569611767361106
