date,sectors
2019-12-31,"US|Technology, US|Health Care, US|Energy, US|Financials, US|Materials"
2020-01-31,"US|Utilities, US|Technology, US|Consumer Staples, US|Real Estate, US|Consumer Discretionary"
2020-02-28,"US|Technology, US|Communication Services, US|Health Care, US|Utilities, US|Consumer Staples"
2020-03-31,"US|Health Care, US|Technology, US|Consumer Discretionary, US|Communication Services, US|Consumer Staples"
2020-04-30,"US|Materials, US|Health Care, US|Technology, US|Consumer Discretionary, US|Communication Services"
2020-05-29,"US|Consumer Discretionary, US|Materials, US|Technology, US|Communication Services, US|Industrials"
2020-06-30,"US|Technology, US|Consumer Discretionary, US|Materials, US|Communication Services, US|Health Care"
2020-07-31,"US|Technology, US|Consumer Discretionary, US|Consumer Staples, US|Materials, US|Real Estate"
2020-08-31,"US|Technology, US|Communication Services, US|Consumer Discretionary, US|Industrials, US|Consumer Staples"
2020-09-30,"US|Technology, US|Consumer Discretionary, US|Materials, US|Industrials, US|Utilities"
2020-10-30,"US|Communication Services, US|Utilities, US|Materials, US|Industrials, US|Financials"
2020-11-30,"US|Energy, US|Industrials, US|Materials, US|Financials, US|Technology"
2020-12-31,"US|Financials, US|Materials, US|Technology, US|Industrials, US|Communication Services"
2021-01-29,"US|Communication Services, US|Technology, US|Consumer Discretionary, US|Health Care, US|Real Estate"
2021-02-26,"US|Energy, US|Financials, US|Industrials, US|Materials, US|Communication Services"
2021-03-31,"US|Energy, US|Industrials, US|Financials, US|Consumer Staples, US|Utilities"
2021-04-30,"US|Real Estate, US|Financials, US|Materials, US|Industrials, US|Communication Services"
2021-05-28,"US|Financials, US|Real Estate, US|Energy, US|Materials, US|Communication Services"
2021-06-30,"US|Technology, US|Communication Services, US|Real Estate, US|Health Care, US|Consumer Discretionary"
2021-07-30,"US|Real Estate, US|Technology, US|Health Care, US|Communication Services, US|Materials"
2021-08-31,"US|Technology, US|Communication Services, US|Real Estate, US|Financials, US|Consumer Discretionary"
2021-09-30,"US|Energy, US|Financials, US|Consumer Discretionary, US|Health Care, US|Technology"
2021-10-29,"US|Energy, US|Consumer Discretionary, US|Technology, US|Real Estate, US|Health Care"
2021-11-30,"US|Technology, US|Consumer Discretionary, US|Real Estate, US|Energy, US|Health Care"
2021-12-31,"US|Real Estate, US|Technology, US|Consumer Staples, US|Health Care, US|Utilities"
2022-01-31,"US|Energy, US|Consumer Staples, US|Utilities, US|Financials, US|Technology"
2022-02-28,"US|Energy, US|Utilities, US|Consumer Staples, US|Industrials, US|Health Care"
2022-03-31,"US|Energy, US|Utilities, US|Materials, US|Real Estate, US|Consumer Staples"
2022-04-29,"US|Consumer Staples, US|Energy, US|Materials, US|Utilities, US|Real Estate"
2022-05-31,"US|Energy, US|Utilities, US|Health Care, US|Materials, US|Financials"
2022-06-30,"US|Utilities, US|Health Care, US|Consumer Staples, US|Real Estate, US|Industrials"
2022-07-29,"US|Consumer Discretionary, US|Technology, US|Energy, US|Industrials, US|Utilities"
