date,strategy,benchmark
2015-01-30,1.0,1.0
2015-02-27,1.05501057718,1.0676044505
2015-03-31,1.0801537885257515,1.0849229239551124
2015-04-30,1.1028155503090853,1.0865496829914718
2015-05-29,1.1087975901943556,1.1041709837118732
2015-06-30,1.0581392583219076,1.0556755087894656
2015-07-31,1.1136920149239238,1.1006445605542736
2015-08-31,1.0309840151292913,1.008512906323957
2015-09-30,1.0004879628731538,0.9672997775060432
2015-10-30,1.0858212628867925,1.0482084380730459
2015-11-30,1.1086374217312265,1.0753625960022308
2015-12-30,1.0472482807849952,1.0274814277565136
2016-01-29,1.016420348672481,0.9545274619111319
2016-02-29,0.9910807465165979,0.9344791450675287
2016-03-31,1.0286744905907232,0.9464855961792357
2016-04-29,1.0443259103753995,0.9632473001219306
2016-05-31,1.03327614655083,0.990066112942647
2016-06-30,1.0159355380833883,0.9409618831443195
2016-07-29,1.0539503441422378,0.9775013782232183
2016-08-31,1.0397804749086115,0.9828831230074326
2016-09-30,1.0396296992325347,0.9853978868780217
2016-10-31,1.0326128813004052,0.9741968841744669
2016-11-30,1.0336454801588228,0.9848236687975584
2016-12-30,1.096596543113204,1.0435275220880764
2017-01-31,1.1124707101379654,1.0371735577226526
2017-02-28,1.1454555758046834,1.0677889589179714
2017-03-31,1.194300526618719,1.1073837645264546
2017-04-28,1.2192461049807446,1.1276449256411327
2017-05-31,1.238648201247234,1.146668244341619
2017-06-30,1.1853287205273677,1.1175459256595448
2017-07-31,1.1814299710816776,1.1151756535532298
2017-08-31,1.1862426652413294,1.1071761836646878
2017-09-29,1.1831584793177485,1.1482727961062615
2017-10-31,1.2115043815034137,1.1651056645017581
2017-11-30,1.1768355495253537,1.1452665147355623
2017-12-29,1.182724767188905,1.1548290779521857
2018-01-31,1.191487626106372,1.1743060607168703
2018-02-28,1.1551210834376104,1.12763598508707
2018-03-29,1.116497591508088,1.1067931072719137
2018-04-30,1.1867493881853424,1.1552754596990815
2018-05-31,1.1878281845119367,1.1584474307898873
2018-06-29,1.176361645038181,1.1521692453273964
2018-07-31,1.2168186606079807,1.1895918422889764
2018-08-31,1.2092220028401184,1.1630142818394553
2018-09-28,1.2027677408100308,1.1669305590281203
2018-10-31,1.1373251096161554,1.1013559162775366
2018-11-30,1.1648642437502732,1.0911724130545213
2018-12-28,1.1105147386779022,1.0279511704800035
2019-01-31,1.1773014845417205,1.0964602813234494
2019-02-28,1.195829151067236,1.1406352768427948
2019-03-29,1.2267329172526795,1.1664034233605707
2019-04-30,1.2344874543758535,1.211032227156509
2019-05-31,1.1703088105802397,1.152875121277016
2019-06-28,1.2008081139663511,1.2053594798716227
